date	product	category	price	quantity	inventory	revenue	profit	margin_pct
01/01/2025	Gaming Mouse	Electronics	25.99	2	34	51.98	-16.02	-30.8%
01/01/2025	Mechanical Keyboard	Electronics	55.99	1	12	55.99	43.99	78.6%
02/01/2025	Bluetooth Headphones	Electronics	39.99	3	20	119.97	59.97	50.0%
02/01/2025	Basic Laptop	Computers	499.99	1	5	499.99	494.99	99.0%
03/01/2025	Laptop Gamer	Computers	1499.99	1	2	1499.99	1497.99	99.9%
03/01/2025	Gaming Mouse	Electronics	25.99	1	33	25.99	-7.01	-27.0%
04/01/2025	Mechanical Keyboard	Electronics	55.99	2	10	111.98	91.98	82.1%
04/01/2025	24" Monitor	Computers	129.99	1	8	129.99	121.99	93.8%
05/01/2025	10" Tablet	Computers	199.99	2	15	399.98	369.98	92.5%
05/01/2025	Bluetooth Headphones	Electronics	39.99	1	19	39.99	20.99	52.5%
06/01/2025	Basic Laptop	Computers	499.99	1	4	499.99	495.99	99.2%
06/01/2025	Gaming Mouse	Electronics	25.99	3	30	77.97	-12.03	-15.4%
07/01/2025	Mechanical Keyboard	Electronics	55.99	1	9	55.99	46.99	83.9%
07/01/2025	Laptop Gamer	Computers	1499.99	1	1	1499.99	1498.99	99.9%
08/01/2025	24" Monitor	Computers	129.99	2	6	259.98	247.98	95.4%
08/01/2025	Bluetooth Headphones	Electronics	39.99	4	15	159.96	99.96	62.5%
09/01/2025	Basic Laptop	Computers	499.99	1	3	499.99	496.99	99.4%
09/01/2025	Gaming Mouse	Electronics	25.99	2	28	51.98	-4.02	-7.7%
10/01/2025	Mechanical Keyboard	Electronics	55.99	2	8	111.98	95.98	85.7%
10/01/2025	Laptop Gamer	Computers	1499.99	1	0	1499.99	1499.99	100.0%
11/01/2025	24" Monitor	Computers	129.99	1	5	129.99	124.99	96.2%
11/01/2025	10" Tablet	Computers	199.99	1	14	199.99	185.99	93.0%
12/01/2025	Bluetooth Headphones	Electronics	39.99	2	13	79.98	53.98	67.5%
12/01/2025	Basic Laptop	Computers	499.99	1	2	499.99	497.99	99.6%
13/01/2025	Gaming Mouse	Electronics	25.99	2	26	51.98	-0.02	0.0%
13/01/2025	Mechanical Keyboard	Electronics	55.99	1	7	55.99	48.99	87.5%
14/01/2025	Laptop Gamer	Computers	1499.99	1	0	1499.99	1499.99	100.0%
14/01/2025	Gaming Mouse	Electronics	25.99	4	22	103.96	15.96	15.4%
15/01/2025	10" Tablet	Computers	199.99	3	11	599.97	566.97	94.5%
15/01/2025	Bluetooth Headphones	Electronics	39.99	2	11	79.98	57.98	72.5%
