URL,Titulo_Producto,Precio_Competencia,UPC,Product Type,Price,Tax
http://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,Â£17.46,,,,
http://books.toscrape.com/catalogue/category/books/paranormal_24/index.html,Paranormal,Â£15.40,,,,
http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,Â£51.33,,,,
http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html,Young Adult,Â£22.65,,,,
http://books.toscrape.com/catalogue/category/books/history_32/index.html,History,Â£54.23,,,,
http://books.toscrape.com/catalogue/category/books/crime_51/index.html,Crime,Â£10.97,,,,
http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html,Fantasy,Â£18.78,,,,
http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,Â£54.23,,,,
http://books.toscrape.com/catalogue/category/books/poetry_23/index.html,Poetry,Â£51.77,,,,
http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html,Contemporary,Â£31.77,,,,
