date,product,category,price,quantity,total_sales,inventory
01/01/2025,Gaming Mouse,Electronics,25.99,2,51.98,34
01/01/2025,Mechanical Keyboard,Electronics,55.99,1,55.99,12
02/01/2025,Bluetooth Headphones,Electronics,39.99,3,119.97,20
02/01/2025,Basic Laptop,Computing,499.99,1,499.99,5
03/01/2025,Gaming Laptop,Computing,1499.99,1,1499.99,2
03/01/2025,Gaming Mouse,Electronics,25.99,1,25.99,33
04/01/2025,Mechanical Keyboard,Electronics,55.99,2,111.98,10
04/01/2025,"24"" Monitor",Computing,129.99,1,129.99,8
05/01/2025,"10"" Tablet",Computing,199.99,2,399.98,15
05/01/2025,Bluetooth Headphones,Electronics,39.99,1,39.99,19
06/01/2025,Basic Laptop,Computing,499.99,1,499.99,4
06/01/2025,Gaming Mouse,Electronics,25.99,3,77.97,30
07/01/2025,Mechanical Keyboard,Electronics,55.99,1,55.99,9
07/01/2025,Gaming Laptop,Computing,1499.99,1,1499.99,1
08/01/2025,"24"" Monitor",Computing,129.99,2,259.98,6
08/01/2025,Bluetooth Headphones,Electronics,39.99,4,159.96,15
09/01/2025,Basic Laptop,Computing,499.99,1,499.99,3
09/01/2025,Gaming Mouse,Electronics,25.99,2,51.98,28
10/01/2025,Mechanical Keyboard,Electronics,55.99,2,111.98,8
10/01/2025,Gaming Laptop,Computing,1499.99,1,1499.99,0
11/01/2025,"24"" Monitor",Computing,129.99,1,129.99,5
11/01/2025,"10"" Tablet",Computing,199.99,1,199.99,14
12/01/2025,Bluetooth Headphones,Electronics,39.99,2,79.98,13
12/01/2025,Basic Laptop,Computing,499.99,1,499.99,2
13/01/2025,Gaming Mouse,Electronics,25.99,2,51.98,26
13/01/2025,Mechanical Keyboard,Electronics,55.99,1,55.99,7
14/01/2025,Gaming Laptop,Computing,1499.99,1,1499.99,0
14/01/2025,Gaming Mouse,Electronics,25.99,4,103.96,22
15/01/2025,"10"" Tablet",Computing,199.99,3,599.97,11
15/01/2025,Bluetooth Headphones,Electronics,39.99,2,79.98,11
